노래제목,가수,가사,요약,카테고리,
내 사람,SG 워너비,"내 가슴속에 사는 사람 내가 그토록 아끼는 사람
너무 소중해 마음껏 안아보지도 못했던

누구에게나 흔한 행복 한번도 준 적이 없어서
맘 놓고 웃어본 적도 없는 그댈 사랑합니다

내가 기쁠때나 슬플때나 함께 울고 웃어주던
그댈 위해 내가 할수 있는건 뭐든 해주고 싶어

안녕 내 사람 그대여 이젠 내가 지켜줄게요
못난 날 믿고 참고 기다려줘서 고마워요
안녕 내 사람 그대여 영원토록 사랑할게요
다시 태어나서 사랑한대도 그대이고 싶어요

어두운 밤 길을 잃어도 서로 등불이 되어주고
비바람 몰아쳐도 지금 잡은 두 손 놓지 말아요

내가 힘들때나 아플때나 내 곁에 있어준 그대
미안하단 말로 고맙단 말을 대신하던 나였죠

안녕 내 사람 그대여 이젠 내가 지켜줄게요
못난 날 믿고 참고 기다려줘서 고마워요
안녕 내 사랑 그대여 영원토록 사랑할게요
다시 태어나서 사랑한대도 그대이고 싶어요

넘어지고 몇 번을 다시 넘어진다 해도
그대만 있다면 다시 일어날 수 있는데

안녕 내 사랑 그대여 이젠 내가 지켜줄게요
못난 날 믿고 참고 기다려줘서 고마워요

안녕 내 사랑 그대여 이렇게 그댈 부를때면
너무 행복해서 눈물이 나죠 사랑해요
나나나",평생을 함께하고 싶은 사랑에 대한 노래,사랑의 다양한 양상,관계
약속,박완규,"멀어지는 네 모습 보고 있을 때면
너무 마음이 아파
다신 볼 수 없을 것만 같아서
눈물이 날 것 같아

너의 오랜 사랑을 잊으라고 한다면
나를 잊을것 같아
그런 널 사랑한 바보같은 날
그저 울고만 있어

어쩔 수 없는걸 너무도 잘 알고 있기에
더는 힘겹게 할 수 만은 없었다고
뒤 늦은 사랑이 나를 흔들리게 하지만
오랜 약속을 저버릴 수 없었다고 말하네

괜찮아 이대로도 난
모진 이사랑을 참아낼 수가 있어
언젠가 내 눈빛을 기억해 주길 바래
오직 너만을 사랑한 나를 잊지마

한번쯤 내 생각에 때론 마음 아파도
제발 흔들리지마
네 곁에 있는 그사람을 위해
잠시 나를 잊어줘

어쩔 수 없는걸 너무도 잘 알고 있기에
더는 힘겹게 할 수 만은 없었다고
모든 걸 버리고 너와 함께 하고 싶지만
오랜 약속을 저버릴 수 없었다고 말하네

끝이 없는 절망속에 살고있어도
다음 세상을 기다리며 살 수 있어
영원히 함께 할 우리만의 약속 기억해
눈물 가득한 내 모습을 내 눈빛을 잊지마

영원히",영원한 사랑을 맹세하는 강렬한 감정을 표현,사랑의 다양한 양상,관계
"헤어지지 못하는 여자, 떠나가지 못하는 남자",리쌍,"헤어지지 못하는 여자 떠나가지 못하는 남자
사랑하지 않는 우리 그래서 No No No No No No
헤어지지 못하는 여자 떠나가지 못하는 남자
사랑하지 않는 우리 그래서 No No No No No No

우린 삼백만원짜리 중고차로 함께
어디든 다녔지 남부럽지 않게
팔짱을 끼고 한 장의 사진에 추억을 담고
밤잠을 설쳐가며 서로를 알아가고
내 꿈은 너의 미래가 되어
우린 서로를 따르는 한 쌍의 아름다운 새여
채워져도 부족했던 사랑
다시 태어나도 만나고픈 사람
하지만 세월 앞에서는 역시
서로의 욕심을 이기지 못해
욕실에 홀로 앉아 우는 너의 울음소리
나를 쏘아보는 눈초린
날이 갈수록 더해 난 또 이별을 생각해
하루 종일

태양은 뜨거운데 니 맘은 얼어있네
누구의 잘못인지 사랑하긴 하는데 Babe~
모든 게 그대론데 우리는 변해있네
누구의 잘못인지 사랑하긴 하는데 Babe~

헤어지지 못하는 여자 떠나가지 못하는 남자
사랑하지 않는 우리 그래서 No No No No No No
헤어지지 못하는 여자 떠나가지 못하는 남자
사랑하지 않는 우리 그래서 No No No No No No

때론 너무나 바뻐 너에게 미안해
지갑에 돈을 채우고 시간을 내
티 나게 사랑을 표현 못해도
너와 함께 영화를 보고 밥을 먹으면
니 기분이 풀릴 거라 여기던
내 생각은 또 빗나가 거리를 거닐며
너에게 장난을 쳐도 진부한 사랑놀이
사랑은 한때 사랑은 이별과 한패
이별은 사랑을 데리고 간대

태양은 뜨거운데 니 맘은 얼어있네
누구의 잘못인지 사랑하긴 하는데 Babe~
모든 게 그대론데 우리는 변해있네
누구의 잘못인지 사랑하긴 하는데 Babe~

헤어지지 못하는 여자 떠나가지 못하는 남자
사랑하지 않는 우리 그래서 No No No No No No
헤어지지 못하는 여자 떠나가지 못하는 남자
사랑하지 않는 우리 그래서 No No No No No No

사랑은 한때 사랑은 이별과 한패
이별은 사랑을 데리고 간대
사랑은 한때 사랑은 이별과 한패
이별은 사랑을 데리고 간대
버리면 버려지는 게 사랑이라면 얼마나 좋을까
(모두 꿈인데 니 손을 잡은 건)
원하면 얻어지는 게 사랑이라면 얼마나 좋을까
(모두 꿈인데 나는 벗어나지 못하네)

헤어지지 못하는 여자 떠나가지 못하는 남자
사랑하지 않는 우리 그래서 No No No No No No
헤어지지 못하는 여자 떠나가지 못하는 남자
사랑하지 않는 우리 그래서 No No No No No No

사랑에 묶이는 남자는 약해 빠지는 걸까
사랑을 굶기는 남자는 무능력한 걸까
비밀을 숨기는 남자는 나뿐인 걸까
사랑 대체 왜 변하는 걸까",사랑과 관계의 복잡함을 통해 현대인의 고독을 표현,사회 비판,일상
하늘을 달리다,이적,"두근거렸지 누군가
나의 뒤를 쫓고 있었고
검은 절벽 끝 더 이상
발 디딜 곳 하나 없었지
자꾸 목이 메어 간절히
네 이름을 되뇌었을 때
귓가에 울리는
그대의 뜨거운 목소리
그게 나의 구원이었어
마른 하늘을 달려
나 그대에게
안길 수만 있으면
내 몸 부서진대도 좋아
설혹 너무
태양 가까이 날아
두 다리 모두 녹아내린다고 해도
내 맘 그대 마음속으로
영원토록 달려갈거야
내가 미웠지 난 결국
이것밖에 안 돼 보였고
오랜 꿈들이 공허한
어린 날의 착각 같았지
울먹임을 참고 남몰래
네 이름을 속삭였을 때
귓가에 울리는
그대의 뜨거운 목소리
그게 나의 희망이었어
마른하늘을 달려
나 그대에게
안길 수만 있으면
내 몸 부서진대도 좋아
설혹 너무
태양 가까이 날아
두 다리 모두 녹아내린다고 해도
내 맘 그대 마음속으로
영원토록 달려갈거야
허약한 내 영혼에 힘을
날개를 달 수 있다면
마른 하늘을 달려
나 그대에게
안길 수만 있으면
내 몸 부서진대도
좋아
설혹 너무
태양 가까이 날아
두 다리 모두 녹아내린다고 해도
내 맘 그대 마음속으로
영원토록 달려갈거야",현대 사회의 경쟁과 스트레스를 비판하고 자유를 갈망하는 내용,사회 비판,일상
시대유감,서태지와 아이들,"왜 기다려왔잖아 모든 삶을 포기하는 소리를
이 세상이 모두 미쳐버릴 일이 벌어질것 같네
거 짜식들 되게 시끄럽게구네
그렇게 거만하기만 한 주제에
거짓된 너의 가식때문에
너의 얼굴 가죽은 꿈틀거리고
나이든 유식한 어른들은
예쁜 인형을 들고 거리를 헤메 다니네
모두가 은근히 바라고 있는
그런날이 오늘 바로 올것만 같아
검게 물든 입술 (정직한 사람들의 시대는 갔어)
숱한 가식속에서 (오늘은 아우성을 들을수 있어)
왜 기다려왔잖아 모든 삶을 포기하는 소리를
이 세상이 모두 미쳐버릴 일이 벌어질것 같네
부러져버린 너의 그런 날개로
너는 얼마나 날아갈수있다 생각하나
모두를 뒤집어 (두룬두룬)
새로운 (두룬두룬)
세상이 (두룬두룬)
오기를 바라네
너의 심장은 태워버리고
너의 그 날카로운 발톱들은 감추고
돌이킬수 없는 과거와
모두다 잘못되어 가고 있는데
검게 물든 입술 (정직한 사람들의 시대는 갔어)
숱한 가식속에서 (오늘은 아우성을 들을수 있어)
왜 기다려왔잖아 모든 삶을 포기하는 소리를
이 세상이 모두 미쳐버릴 일이 벌어질것 같네
바로 오늘이 두개의 달이 떠오르는 밤이야
네 가슴에 맺힌 한을 풀수 있기를
오늘이야",90년대 사회 문제를 비판적으로 다룬 노래,사회 비판,일상
회상,장범준,"길을 걸었지 누군가 옆에 있다고
느꼈을 때 나는 알아버렸네
이미 그대 떠난 후라는 걸
나는 혼자 걷고 있던거지
갑자기 바람이 차가와 지네
마음은 얼고 나는 그 곳에 서서
조금도 움직일 수 없었지
마치 얼어버린 사람처럼
나는 놀라서 있던거지
달빛이 숨어 흐느끼고 있네
음 떠나버린 그 사람 생각나네
음 돌아선 그 사람 생각나네
묻지 않았지 왜 나를 떠나느냐고
하지만 마음 너무 아팠네
이미 그대 돌아서 있는 걸
혼자 어쩔수 없었지
미운건 오히려 나였어
떠나버린 그 사람 생각나네
돌아선 그 사람 생각나네
길을 걸었지 누군가 옆에 있다고
느꼈을 때 나는 알아버렸네
이미 그대 떠난 후라는 걸
나는 혼자 걷고 있었던거지
갑자기 바람이 차가와 지네
묻지 않았지 왜 나를 떠나느냐고
하지만 마음 너무 아팠네
이미 그대 돌아서 있는 걸
혼자 어쩔 수 없었지
미운건 오히려 나였어
갑자기 바람이 차가와 지네",과거 회상을 통해 현재 사회 문제를 반영,사회 비판,일상
나는 나비,YB,"내 모습이 보이지 않아
앞길도 보이지 않아
나는 아주 작은 애벌레
살이 터져 허물 벗어
한 번 두 번 다시
나는 상처 많은 번데기
추운 겨울이 다가와
힘겨울지도 몰라
봄바람이 불어오면
이젠 나의 꿈을 찾아 날아
날개를 활짝 펴고
세상을 자유롭게 날거야
노래하며 춤추는
나는 아름다운 나비
Woo woo
거미줄을 피해 날아
꽃을 찾아 날아
사마귀를 피해 날아
꽃을 찾아 날아
꽃들의 사랑을 전하는 나비
날개를 활짝 펴고
세상을 자유롭게 날거야
노래하며 춤추는
나는 아름다운 나비
날개를 활짝 펴고
세상을 자유롭게 날거야
노래하며 춤추는
나는 아름다운 나비
Spread my wings and fly away
Ride the wind sailing on the world today
Sing a song reach for the sky
Flying butterfly God save me
I wanna fly away (I wanna fly away)
날개를 활짝 펴고
세상을 자유롭게 날거야
노래하며 춤추는
나는 아름다운 나비
Woo Woo
Woo Woo",개인의 자유와 권리를 강조하며 사회적 제약을 비판,사회 비판,일상
광화문 연가,이문세,"이제 모두 세월 따라 흔적도 없이 변해갔지만
덕수궁 돌담길엔 아직 남아 있어요
다정히 걸어가는 연인들
언젠가는 우리 모두 세월을 따라 떠나가지만
언덕 밑 정동길엔 아직 남아있어요
눈 덮인 조그만 교회당
향긋한 오월의 꽃향기가
가슴 깊이 그리워지면
눈 내린 광화문 네거리 이곳에
이렇게 다시 찾아와요
언젠가는 우리 모두 세월을 따라 떠나가지만
언덕 밑 정동길엔 아직 남아있어요
눈 덮인 조그만 교회당
향긋한 오월의 꽃향기가
가슴 깊이 그리워지면
눈 내린 광화문 네거리 이곳에
이렇게 다시 찾아와요
언젠가는 우리 모두 세월을 따라 떠나가지만
언덕 밑 정동길엔 아직 남아있어요
눈 덮인 조그만 교회당",광화문을 배경으로 한국 사회의 변화와 문제점을 노래,사회 비판,일상
똑같은 사랑 똑같은 이별,어반자카파,"욕심에 점점 초라해지는
붙잡으려 할수록 더 멀어지는
지키려 할수록 지쳐만 가는
그렇게도 허무하게 무너져내리는
무엇을 위해 사랑을 하고
무엇을 위해 또 이별을 하고
그렇게 또 다른 만남과 또 다른 사랑에
똑같이 아파, 늘 같은 이별하면서
잃게 될까봐 늘 불안해하는
상처받은 내 모습이 무뎌져가는
이번만은 정말 다를 거라는
헛된 바램을 가지고 또 믿음을 주는
무엇을 위해 사랑을 하고
무엇을 위해 또 이별을 하고
그렇게 또 다른 만남과 또 다른 사랑에
똑같이 아파, 늘 같은 이별하면서
Why do we, Why we fall in love
Why do we, Why we fail in love
무엇을 위해 사랑을 하고
무엇을 위해 또 이별을 하고
그렇게 또 다른 만남과 또 다른 사랑에
똑같이 아파, 늘 같은 이별하면서
욕심에 점점 초라해지는
붙잡으려 할 수록 더 멀어지는",사랑과 이별의 반복되는 패턴을 통해 현대인의 감정을 다룬 노래,사회 비판,일상
발해를 꿈꾸며,서태지와 아이들,"진정 나에겐 단 한가지 내가 소망하는 게 있어
갈려진 땅의 친구들을 언제쯤 볼 수가 있을까
망설일 시간에 우리를 잃어요
한민족인 형제인 우리가 서로를 겨누고 있고
우리가 만든 큰 욕심에 내가 먼저 죽는걸
진정 너는 알고는 있나 전 인류가 살고 죽고
처절한 그날을 잊었던 건 아니었겠지
우리 몸을 반을 가른 채 현실 없이 살아갈건가
치유할 수 없는 아픔에 절규하는 우릴 지켜줘
갈 수 없는 길에 뿌려진 천만인의 눈물이 있어
저 하늘로 자유롭게 저 새들과 함께
시원스레 맘의 문을 열고 나갈 길을 찾아요
더 행복할 미래가 있어 우리에겐..

언젠가 나의 작은 땅에 경계선이 사라지는 날
많은 사람이 마음속에 희망들을 가득 담겠지
난 지금 평화와 사랑을 바래요
젊은 우리 힘들이 모이면 세상을 흔들수 있고
우리가 서로 손을 잡은 것으로 큰 힘인데
우리몸을 반을 가른채 현실없이 살아갈건가
치유할수 없는 아픔에 절규하는 우릴 지켜줘.
갈수 없는 길에 뿌려진 천만인의 눈물이 있어
워! 나에겐 갈수도 볼수도 없는가 ..
저 하늘로 자유롭게 저 새들과 함께 날고 싶어..
우리들이 항상 바라는것 서로가 웃고 돕고 사는것
이젠 함께 하나를 보며 나가요..",역사적 사건을 통해 현재의 사회 문제를 비판,사회 비판,일상
삶은 여행이다,이상은(Lee Tzsche),"의미를 모를땐 하얀 태양 바라봐
얼었던 영혼이 녹으리
드넓은 이 세상 어디든 평화로이 춤추듯 흘러가는 신비를

오늘은 너와 함께 걸어왔던 길도
하늘 유리 빛으로 반짝여
헤어지고 나 홀로 걷던 길은
인어의 걸음처럼 아렸지만

삶은 여행이니까 언젠가 끝나니까
소중한 너를 잃는 게 나는 두려웠지
하지만 이제 알아
우리는 자유로이 살아가기 위해서 태어난 걸

용서해 용서해 그리고 감사해
시들었던 마음이 꽃피리
드넓은 저 밤하늘 마음속에 품으면
투명한 별들 가득

어제는 날아가버린 새를 그려
새장속에 넣으며 울었지
이젠 나에게 없는걸 아쉬워 하기보다
있는 것들을 안으리

삶은 계속되니까
수많은 풍경속을 혼자 걸어가는걸 두려워 했을 뿐
하지만 이젠 알아
혼자 비바람 속을 걸어갈 수 있어야 했던걸

눈물 잉크로 쓴 시, 길을 잃은 멜로디
가슴과 영혼과 마음과 몸이
다 기억하고 있어
이제 다시 일어나 영원을 향한 여행 떠나리

삶은 여행이니까 언젠가 끝나니까
강해지지 않으면 더 걸을 수 없으니
수 많은 저 불빛에 하나가 되기 위해 걸어가는 사람들
바라봐",삶의 여정을 여행에 비유하며 사회적 압박을 비판,사회 비판,일상
